Size, Unordered, Ordered, Almost ordered, Reverse ordered 
5860001,1369742,541993,610785,539552, 
5880001,1352167,488517,556510,479295, 
5900001,1679187,475095,558821,535748, 
5920001,1320831,496435,700897,505257, 
5940001,1399874,520722,526950,489179, 
5960001,1266138,498109,516018,566816, 
5980001,1278813,509018,522692,492072, 
6000001,1733842,539717,578322,551066, 
6020001,1386119,526686,594362,493643, 
6040001,1298994,481627,599989,490646, 
6060001,1357760,488557,603149,478857, 
6080001,1322883,527351,564132,520728, 
6100001,1364590,703362,817308,504820, 
6120001,1370149,510856,554373,561600, 
6140001,1324888,506985,636865,533634, 
6160001,1595501,630517,613064,503472, 
6180001,1371296,497624,647969,542691, 
6200001,1401420,489609,668887,502633, 
6220001,1352451,504702,658369,533003, 
6240001,1431166,539505,698586,818424, 
6260001,1416357,497609,698084,501550, 
6280001,1346129,541843,766444,529384, 
6300001,1385316,613827,1086269,585760, 
6320001,1404709,542666,566007,534864, 
6340001,1350475,536333,654676,519489, 
6360001,1407445,505419,755223,634778, 
6380001,1350340,546978,696213,549404, 
6400001,1398202,567883,675993,519605, 
6420001,1501662,559697,658196,834290, 
6440001,1734541,512945,549519,531907, 
6460001,1448540,522989,612470,565437, 
6480001,1706380,513694,566076,539920, 
6500001,1611455,553088,600941,540260, 
6520001,1450375,546537,644215,518440, 
6540001,1499291,510821,685341,519699, 
6560001,1448730,530668,750012,560609, 
6580001,1710996,514083,688208,547579, 
6600001,1416646,517584,591400,514306, 
6620001,1400497,510860,588939,517308, 
6640001,1417701,522371,565011,525259, 
6660001,1420621,685037,660591,518877, 
6680001,1432702,522607,556964,561216, 
6700001,1528785,577218,644154,586601, 
6720001,1448270,585718,579778,532090, 
6740001,1562616,547513,559098,544611, 
6760001,1570989,821114,826092,524247, 
6780001,1431162,524053,558173,525072, 
6800001,1440670,609519,690727,522131, 
6820001,1522133,577136,727287,555185, 
6840001,1502787,566029,633672,533703, 
6860001,1611434,564364,575059,538481, 
6880001,1602280,550267,770043,615671, 
6900001,1632635,593010,628046,640765, 
6920001,1668688,607675,706703,569387, 
6940001,1685016,773195,918716,561800, 
6960001,1515966,560586,653875,560134, 
6980001,1711504,606161,802219,624533, 
7000001,1544638,578043,690467,585755, 
7020001,1683220,609052,941348,559538, 
7040001,1616680,624201,737345,581127, 
7060001,1650974,748497,677318,571114, 
7080001,1515222,564076,753089,597925, 
7100001,1592916,637322,673536,561471, 
7120001,1536635,582660,590673,555218, 
7140001,1537752,582813,630955,586185, 
7160001,1524541,551412,592105,555633, 
7180001,1525595,553397,658430,556111, 
7200001,1572236,590319,805733,580503, 
7220001,1583326,566183,696513,573496, 
7240001,1617783,565401,754814,590880, 
7260001,1603577,602237,692414,893929, 
7280001,1767188,589895,642626,563915, 
7300001,1546524,558804,748386,566395, 
7320001,1579705,576722,633095,571215, 
7340001,1550645,559105,632444,561171, 
7360001,1551633,597861,606964,562879, 
7380001,1587724,590699,675432,567995, 
7400001,1575597,583958,826638,600446, 
7420001,1601152,579963,744338,590245, 
